"lon","lat","NDVI","DTM","DSM","NDSM","NDRE","LULCC","D2W","area","lon_pt","lat_pt"
334726.90626571,7277875.2547505,-0.278373956680298,482.552703857422,482.552703857422,0,-0.184254169464111,7,970.426696777344,36442.4343116842,334726.90626571,7277875.2547505
334920.082795172,7277881.29378844,-0.268332868814468,479.464416503906,479.492828369141,0.028411865234375,-0.165828123688698,2,1086.50500488281,37389.8832296059,334920.082795172,7277881.29378844
335120.04394667,7277885.69821909,-0.332156002521515,479.044128417969,479.048767089844,0.004638671875,-0.223699122667313,2,1180.21899414062,35627.768692188,335120.04394667,7277885.69821909
335320.001055398,7277890.10256069,-0.324576646089554,473.992858886719,473.992858886719,0,-0.215384513139725,7,1284.60192871094,33865.6541547738,335320.001055398,7277890.10256069
335519.774249985,7277894.73533092,-0.293538063764572,475.396423339844,475.396423339844,0,-0.191964983940125,2,1410.52685546875,32008.6561121382,335519.774249985,7277894.73533092
335719.593360977,7277900.32164786,-0.336559861898422,476.692901611328,476.692901611328,0,-0.232046753168106,7,1537.43493652344,29771.1430919357,335719.593360977,7277900.32164786
335919.487760547,7277906.01193839,-0.331296861171722,473.265319824219,473.265319824219,0,-0.222244694828987,2,1495.27587890625,27493.8244509511,335919.487760547,7277906.01193839
336119.363086433,7277911.70168596,-0.330184698104858,470.091369628906,470.091369628906,0,-0.220887690782547,2,1480.19458007812,25216.5058099665,336119.363086433,7277911.70168596
336319.213657939,7277917.39072885,-0.336218029260635,468.872131347656,468.872131347656,0,-0.225365608930588,2,1490.92321777344,22939.1871689782,336319.213657939,7277917.39072885
336519.031289898,7277923.07883408,-0.304514229297638,465.117614746094,465.117614746094,0,-0.209608227014542,2,1528.00524902344,20661.8685280941,336519.031289898,7277923.07883408
336718.803741514,7277928.76565318,-0.348596811294556,460.644561767578,460.644561767578,0,-0.232702895998955,2,1471.59265136719,18384.549887199,336718.803741514,7277928.76565318
336918.511849336,7277934.45064064,-0.318013876676559,456.161254882812,456.161254882812,0,-0.204891234636307,8,1307.17138671875,16107.2312462144,336918.511849336,7277934.45064064
337118.123827629,7277940.13289163,-0.30247962474823,450.786682128906,450.779937744141,-0.006744384765625,-0.202489659190178,7,1123.84790039062,13829.9126052298,337118.123827629,7277940.13289163
337317.582827453,7277945.81078786,-0.311021238565445,446.589904785156,446.589904785156,0,-0.192389518022537,2,946.588073730469,11552.5939642452,337317.582827453,7277945.81078786
337516.780506751,7277951.48032016,-0.328575015068054,445.991638183594,445.991638183594,0,-0.212073892354965,7,780.576721191406,9275.69244876131,337516.780506751,7277951.48032016
337715.626027765,7277957.04776357,-0.283530294895172,440.006744384766,440.006744384766,0,-0.16988916695118,7,633.912475585938,7037.19676379021,337715.626027765,7277957.04776357
337913.220565477,7277962.51480612,-0.352607101202011,441.283203125,441.283203125,0,-0.233376309275627,8,524.843811035156,4823.75802863389,337913.220565477,7277962.51480612
338106.735645617,7277967.8689783,-0.352348774671555,442.525543212891,442.525543212891,0,-0.229548186063766,8,476.268829345703,2610.31929347618,338106.735645617,7277967.8689783
338266.155261444,7277972.27979771,-0.359974771738052,443.808227539062,443.808227539062,0,-0.225558951497078,2,492.229614257812,510.701448667329,338266.155261444,7277972.27979771
334737.340098988,7278072.82921819,-0.190940588712692,473.566925048828,473.586883544922,0.01995849609375,-0.102607034146786,1,822.083312988281,33372.938360814,334737.340098988,7278072.82921819
